Date,Weekday,MealType,Paytm+Cash,Coupons,SemType,Holiday,MenuItem
2022-10-26,2,Lunch,25.0,,False,False,
2022-10-26,2,EveningSnacks,0.0,,False,False,
2022-10-26,2,Dinner,15.0,,False,False,
2022-10-27,3,BreakFast,8.0,,False,False,
2022-10-27,3,Lunch,26.0,,False,False,
2022-10-27,3,EveningSnacks,2.0,,False,False,
2022-10-27,3,Dinner,14.0,,False,False,
2022-10-28,4,BreakFast,20.0,38.0,False,False,
2022-10-28,4,Lunch,30.0,33.0,False,False,
2022-10-28,4,EveningSnacks,0.0,34.0,False,False,
2022-10-28,4,Dinner,23.0,64.0,False,False,
2022-10-29,5,BreakFast,13.0,45.0,False,False,
2022-10-29,5,Lunch,35.0,57.0,False,False,
2022-10-29,5,EveningSnacks,1.0,,False,False,
2022-10-29,5,Dinner,9.0,28.0,False,False,
2022-10-30,6,BreakFast,15.0,48.0,False,False,
2022-10-30,6,Lunch,24.0,44.0,False,False,
2022-10-30,6,EveningSnacks,3.0,,False,False,
2022-10-30,6,Dinner,50.0,99.0,False,False,
2022-10-31,0,BreakFast,24.0,75.0,False,False,
2022-10-31,0,Lunch,58.0,,False,False,
2022-10-31,0,EveningSnacks,9.0,,False,False,
2022-10-31,0,Dinner,28.0,126.0,False,False,
2022-11-01,1,BreakFast,40.0,32.0,False,False,
2022-11-01,1,Lunch,178.0,78.0,False,False,
2022-11-01,1,EveningSnacks,11.0,51.0,False,False,
2022-11-01,1,Dinner,52.0,122.0,False,False,
2022-11-02,2,BreakFast,65.0,101.0,False,False,
2022-11-02,2,Lunch,129.0,125.0,False,False,
2022-11-02,2,EveningSnacks,12.0,84.0,False,False,
2022-11-02,2,Dinner,99.0,201.0,False,False,
2022-11-03,3,BreakFast,31.0,120.0,False,False,
2022-11-03,3,Lunch,115.0,216.0,False,False,
2022-11-03,3,EveningSnacks,10.0,111.0,False,False,
2022-11-03,3,Dinner,35.0,203.0,False,False,
2022-11-04,4,BreakFast,20.0,179.0,False,False,
2022-11-04,4,Lunch,63.0,178.0,False,False,
2022-11-04,4,EveningSnacks,4.0,117.0,False,False,
2022-11-04,4,Dinner,47.0,228.0,False,False,
2022-11-05,5,BreakFast,10.0,93.0,False,False,
2022-11-05,5,Lunch,84.0,252.0,False,False,
2022-11-05,5,EveningSnacks,1.0,,False,False,
2022-11-05,5,Dinner,18.0,,False,False,
2022-11-06,6,BreakFast,12.0,129.0,False,False,
2022-11-06,6,Lunch,31.0,157.0,False,False,
2022-11-06,6,EveningSnacks,5.0,,False,False,
2022-11-06,6,Dinner,45.0,261.0,False,False,
2022-11-07,0,BreakFast,6.0,175.0,False,False,
2022-11-07,0,Lunch,72.0,278.0,False,False,
2022-11-07,0,EveningSnacks,6.0,189.0,False,False,
2022-11-07,0,Dinner,23.0,247.0,False,False,
2022-11-08,1,BreakFast,11.0,132.0,False,False,
2022-11-08,1,Lunch,34.0,262.0,False,False,
2022-11-08,1,EveningSnacks,4.0,127.0,False,False,
2022-11-08,1,Dinner,17.0,204.0,False,False,
2022-11-09,2,BreakFast,31.0,236.0,False,False,
2022-11-09,2,Lunch,45.0,287.0,False,False,
2022-11-09,2,EveningSnacks,5.0,,False,False,
2022-11-09,2,Dinner,49.0,421.0,False,False,
2022-11-10,3,BreakFast,14.0,220.0,False,False,
2022-11-10,3,Lunch,83.0,365.0,False,False,
2022-11-10,3,EveningSnacks,6.0,220.0,False,False,
2022-11-10,3,Dinner,14.0,278.0,False,False,
2022-11-11,4,BreakFast,21.0,250.0,False,False,
2022-11-11,4,Lunch,45.0,220.0,False,False,
2022-11-11,4,EveningSnacks,3.0,131.0,False,False,
2022-11-11,4,Dinner,31.0,340.0,False,False,
2022-11-12,5,BreakFast,17.0,201.0,False,False,
2022-11-12,5,Lunch,76.0,387.0,False,False,
